TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
SANDP-500,30,20150302,180000,2105.23,2109.9,2104.5,2109.63,1349
SANDP-500,30,20150302,183000,2109.68,2113.28,2109.68,2113.21,1094
SANDP-500,30,20150302,190000,2113.45,2113.97,2111.83,2112.88,1100
SANDP-500,30,20150302,193000,2112.89,2113.21,2111.32,2112.36,1060
SANDP-500,30,20150302,200000,2112.35,2114.38,2112.11,2112.28,944
SANDP-500,30,20150302,203000,2112.29,2112.62,2109.19,2109.46,1004
SANDP-500,30,20150302,210000,2109.43,2111.21,2109.34,2110.99,982
SANDP-500,30,20150302,213000,2111,2111.6,2110.7,2111.41,903
SANDP-500,30,20150302,220000,2111.42,2113.17,2111.28,2112.95,902
SANDP-500,30,20150302,223000,2112.96,2113.32,2110.78,2110.78,1009
SANDP-500,30,20150302,230000,2110.76,2113.61,2110.65,2113.25,928
SANDP-500,30,20150302,233000,2113.26,2115.1,2112.96,2114.98,898
SANDP-500,30,20150303,0,2114.99,2117.52,2114.75,2116.92,968
SANDP-500,30,20150303,3000,2116.95,2117.39,2116.95,2117.39,33
SANDP-500,30,20150303,180000,2115.76,2115.76,2104.92,2105.65,1535
SANDP-500,30,20150303,183000,2105.76,2108.79,2105.45,2106.84,1311
SANDP-500,30,20150303,190000,2106.83,2108.17,2105.52,2105.94,1187
SANDP-500,30,20150303,193000,2105.96,2106.21,2103.9,2104.47,1142
SANDP-500,30,20150303,200000,2104.48,2104.5,2099.21,2101.87,1126
SANDP-500,30,20150303,203000,2101.86,2101.88,2098.26,2099.63,1052
SANDP-500,30,20150303,210000,2099.62,2104.36,2099.37,2104.31,1015
SANDP-500,30,20150303,213000,2104.29,2105.44,2103.38,2104.94,896
SANDP-500,30,20150303,220000,2104.95,2105.89,2103.76,2104.39,897
SANDP-500,30,20150303,223000,2104.38,2108.98,2104.38,2108.97,1002
SANDP-500,30,20150303,230000,2108.98,2109.07,2105.27,2106.94,916
SANDP-500,30,20150303,233000,2106.93,2108.08,2105.37,2107.94,993
SANDP-500,30,20150304,0,2107.93,2108.83,2106.31,2107.75,1042
SANDP-500,30,20150304,3000,2107.77,2107.8,2107.77,2107.78,17
SANDP-500,30,20150304,180000,2107.72,2107.72,2090.55,2092.94,1529
SANDP-500,30,20150304,183000,2092.86,2093.74,2087.62,2090.3,1408
SANDP-500,30,20150304,190000,2090.26,2093.24,2089.25,2092.14,1320
SANDP-500,30,20150304,193000,2092.19,2096.89,2092.15,2096.06,1174
SANDP-500,30,20150304,200000,2096.08,2098.15,2096,2096.59,1064
SANDP-500,30,20150304,203000,2096.57,2099.78,2096.12,2099.19,899
SANDP-500,30,20150304,210000,2099.18,2101.05,2098.54,2098.55,983
SANDP-500,30,20150304,213000,2098.56,2100.12,2097.98,2099.49,901
SANDP-500,30,20150304,220000,2099.57,2099.75,2095.43,2095.66,1036
SANDP-500,30,20150304,223000,2095.67,2097.24,2094.49,2095.71,1025
SANDP-500,30,20150304,230000,2095.72,2098.98,2095.32,2098.89,954
SANDP-500,30,20150304,233000,2098.9,2099.12,2096.69,2098.36,1061
SANDP-500,30,20150305,0,2098.37,2099.85,2097.87,2098.67,1157
SANDP-500,30,20150305,3000,2098.66,2098.66,2098.53,2098.53,27
SANDP-500,30,20150305,180000,2098.54,2102.76,2098.11,2102.33,952
SANDP-500,30,20150305,183000,2102.3,2103.78,2101.11,2103.65,1093
SANDP-500,30,20150305,190000,2103.66,2104.25,2102.93,2103.26,1140
SANDP-500,30,20150305,193000,2103.25,2103.25,2098.23,2100.11,1195
SANDP-500,30,20150305,200000,2100.13,2102.95,2100.13,2102.66,944
SANDP-500,30,20150305,203000,2102.65,2102.69,2099.47,2099.55,877
SANDP-500,30,20150305,210000,2099.56,2100.28,2095.33,2095.84,1014
SANDP-500,30,20150305,213000,2095.8,2098.99,2095.48,2098.64,996
SANDP-500,30,20150305,220000,2098.63,2100.19,2098.48,2100.17,886
SANDP-500,30,20150305,223000,2100.15,2101.62,2100.15,2100.71,840
SANDP-500,30,20150305,230000,2100.7,2102.58,2099.85,2101.81,870
SANDP-500,30,20150305,233000,2101.8,2101.89,2099.48,2101.82,946
SANDP-500,30,20150306,0,2101.83,2102.37,2099.9,2101.23,1099
SANDP-500,30,20150306,3000,2101.08,2101.11,2101.02,2101.04,37
SANDP-500,30,20150306,180000,2100.91,2100.91,2090.9,2094.92,1564
SANDP-500,30,20150306,183000,2094.93,2095.54,2091.62,2094.53,1408
SANDP-500,30,20150306,190000,2094.51,2094.73,2089.02,2089.8,1296
SANDP-500,30,20150306,193000,2089.82,2089.82,2082.02,2082.65,1328
SANDP-500,30,20150306,200000,2082.63,2082.63,2078,2080.36,1337
SANDP-500,30,20150306,203000,2080.38,2082.07,2074.82,2076.31,1212
SANDP-500,30,20150306,210000,2076.32,2078.95,2075.04,2076.44,1179
SANDP-500,30,20150306,213000,2076.46,2077.86,2073.56,2075.8,1170
SANDP-500,30,20150306,220000,2075.78,2075.86,2072.27,2075.45,1086
SANDP-500,30,20150306,223000,2075.46,2078.24,2072.4,2073.5,1127
SANDP-500,30,20150306,230000,2073.48,2074.07,2069.45,2070.51,1094
SANDP-500,30,20150306,233000,2070.48,2075.08,2070.26,2070.65,888
SANDP-500,30,20150307,0,2070.58,2072,2067.27,2071.41,1085
